fishid,diel_period,date,med.activ,mean.activ,sd.activ,tl_mm,weight_g,sex,lake,pit_id
T412067,night,2015-08-30,0.0453764245340067,0.0503514454053652,0.0397749577870378,1145,8200,F,Most,900108001617798
T412067,night,2015-09-01,0.105535836159769,0.111263627522401,0.0666912328191353,1145,8200,F,Most,900108001617798
T412067,night,2015-09-02,0.0475362953062726,0.101270544726064,0.0908790302021195,1145,8200,F,Most,900108001617798
T412067,day,2015-09-02,0.00408941477824369,0.0129773917286115,0.010380141853659,1145,8200,F,Most,900108001617798
T412067,day,2015-09-03,0.0529899931312218,0.0520389030166028,0.0220033282901074,1145,8200,F,Most,900108001617798
T412067,night,2015-09-03,0.0408075837798028,0.0408075837798028,0.00595104105449103,1145,8200,F,Most,900108001617798
T412067,night,2015-09-04,0.0385448103295458,0.0440741613901259,0.0229006897724064,1145,8200,F,Most,900108001617798
T412067,day,2015-09-04,,,,1145,8200,F,Most,900108001617798
T412067,day,2015-09-05,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-05,,,,1145,8200,F,Most,900108001617798
T412067,day,2015-09-06,0.0119062444678965,0.0101549566939434,0.00377160686544172,1145,8200,F,Most,900108001617798
T412067,night,2015-09-06,0.00366076506667212,0.00366076506667212,0.00208947168815456,1145,8200,F,Most,900108001617798
T412067,day,2015-09-07,0.00355738675012068,0.00292160930046127,0.00127155537292186,1145,8200,F,Most,900108001617798
T412067,night,2015-09-07,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-08,0.00457535352364503,0.00441946878951354,0.00193617556869552,1145,8200,F,Most,900108001617798
T412067,day,2015-09-08,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-09,,,,1145,8200,F,Most,900108001617798
T412067,day,2015-09-09,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-10,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-11,,,,1145,8200,F,Most,900108001617798
T412067,day,2015-09-11,,,,1145,8200,F,Most,900108001617798
T412067,day,2015-09-12,0.0024039025433771,0.00245516173822398,0.00013077169571683,1145,8200,F,Most,900108001617798
T412067,night,2015-09-12,0.00300944034401517,0.0032438838394015,0.000548739692110067,1145,8200,F,Most,900108001617798
T412067,night,2015-09-13,0.0769176089883078,0.0800583484723509,0.0573901620071277,1145,8200,F,Most,900108001617798
T412067,day,2015-09-13,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-14,0.00744652202025488,0.0119241363442179,0.0130696561202083,1145,8200,F,Most,900108001617798
T412067,day,2015-09-14,0.0480915311489045,0.0361883587538645,0.0206626578699897,1145,8200,F,Most,900108001617798
T412067,night,2015-09-15,0.00117461070453028,0.00176556525070908,0.00149893884010726,1145,8200,F,Most,900108001617798
T412067,day,2015-09-15,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-16,0.0245088343478515,0.0340982180732707,0.0255444218854325,1145,8200,F,Most,900108001617798
T412067,day,2015-09-16,0.146415866199778,0.135041930378857,0.0409446779140299,1145,8200,F,Most,900108001617798
T412067,night,2015-09-17,0.135326488705791,0.118255769231649,0.0483415941353764,1145,8200,F,Most,900108001617798
T412067,night,2015-09-18,0.0376758047805788,0.0462251387243964,0.0635274637344405,1145,8200,F,Most,900108001617798
T412067,day,2015-09-18,0.280999945636757,0.232411879769492,0.105887217734391,1145,8200,F,Most,900108001617798
T412067,night,2015-09-19,0.0144278510306923,0.0635540405340667,0.116282930596314,1145,8200,F,Most,900108001617798
T412067,day,2015-09-19,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-20,0.0207309419859307,0.0211119581469816,0.0149365133411203,1145,8200,F,Most,900108001617798
T412067,night,2015-09-21,0.0236350047338918,0.0470038723470731,0.0598005272781271,1145,8200,F,Most,900108001617798
T412067,night,2015-09-22,0.144490858056923,0.127470742478902,0.0718793525616808,1145,8200,F,Most,900108001617798
T412067,day,2015-09-22,0.0409747720024287,0.0339028935933462,0.0171783046860328,1145,8200,F,Most,900108001617798
T412067,night,2015-09-23,0.19795244449516,0.197063979565466,0.0614794486649064,1145,8200,F,Most,900108001617798
T412067,day,2015-09-23,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-09-24,0.124481000330967,0.146767687519222,0.114942653362249,1145,8200,F,Most,900108001617798
T412067,night,2015-09-25,0.0851672223793855,0.120620301363488,0.0800043862647223,1145,8200,F,Most,900108001617798
T412067,day,2015-09-25,0.126064037554347,0.0979837310660398,0.0586345069815896,1145,8200,F,Most,900108001617798
T412067,night,2015-09-26,0.107895290013052,0.124763826206421,0.0731300627629894,1145,8200,F,Most,900108001617798
T412067,night,2015-09-27,0.09525751803557,0.0981071415627087,0.0513708993802231,1145,8200,F,Most,900108001617798
T412067,night,2015-09-28,0.123199013552761,0.12974190025837,0.106407104054086,1145,8200,F,Most,900108001617798
