fishid,ka,date,diel_period,tl_mm,weight_g,lake,sex
T412070,3.34,3000-07-27,day,760,3160,Most,M
T412070,15.18,3000-07-27,night,760,3160,Most,M
T412070,18.91,3000-07-28,night,760,3160,Most,M
T412070,4.04,3000-07-29,day,760,3160,Most,M
T412070,12.46,3000-07-29,night,760,3160,Most,M
T412070,3.81,3000-07-30,day,760,3160,Most,M
T412070,11.71,3000-07-30,night,760,3160,Most,M
T412070,2.52,3000-07-31,day,760,3160,Most,M
T412070,8.43,3000-07-31,night,760,3160,Most,M
T412070,2.33,3000-08-01,day,760,3160,Most,M
T412070,6.89,3000-08-01,night,760,3160,Most,M
T412070,4.48,3000-08-02,day,760,3160,Most,M
T412070,10.58,3000-08-02,night,760,3160,Most,M
T412070,7.62,3000-08-03,day,760,3160,Most,M
T412070,9.92,3000-08-03,night,760,3160,Most,M
T412070,8.17,3000-08-04,day,760,3160,Most,M
T412070,12.92,3000-08-04,night,760,3160,Most,M
T412070,5.06,3000-08-05,day,760,3160,Most,M
T412070,8.22,3000-08-05,night,760,3160,Most,M
T412070,3.26,3000-08-06,day,760,3160,Most,M
T412070,6.56,3000-08-06,night,760,3160,Most,M
T412070,2.13,3000-08-07,day,760,3160,Most,M
T412070,6.29,3000-08-07,night,760,3160,Most,M
T412070,3.62,3000-08-08,day,760,3160,Most,M
T412070,10.06,3000-08-08,night,760,3160,Most,M
T412070,4.44,3000-08-09,day,760,3160,Most,M
T412070,16.46,3000-08-09,night,760,3160,Most,M
T412070,5.88,3000-08-10,day,760,3160,Most,M
T412070,15.41,3000-08-10,night,760,3160,Most,M
T412070,3.44,3000-08-11,day,760,3160,Most,M
T412070,12.7,3000-08-11,night,760,3160,Most,M
T412070,1.89,3000-08-12,day,760,3160,Most,M
T412070,23.13,3000-08-12,night,760,3160,Most,M
T412070,3.02,3000-08-13,day,760,3160,Most,M
T412070,17.01,3000-08-13,night,760,3160,Most,M
T412070,5.91,3000-08-14,day,760,3160,Most,M
T412070,18.86,3000-08-14,night,760,3160,Most,M
T412070,8.73,3000-08-15,day,760,3160,Most,M
T412070,22.74,3000-08-15,night,760,3160,Most,M
T412070,2.19,3000-08-16,day,760,3160,Most,M
T412070,26.33,3000-08-16,night,760,3160,Most,M
T412070,1.8,3000-08-17,day,760,3160,Most,M
T412070,15.01,3000-08-17,night,760,3160,Most,M
T412070,3.61,3000-08-18,day,760,3160,Most,M
T412070,5.01,3000-08-18,night,760,3160,Most,M
T412070,4.54,3000-08-19,day,760,3160,Most,M
T412070,6.92,3000-08-19,night,760,3160,Most,M
T412070,2.52,3000-08-20,day,760,3160,Most,M
T412070,15.82,3000-08-20,night,760,3160,Most,M
T412070,5.47,3000-08-21,day,760,3160,Most,M
T412070,24.88,3000-08-21,night,760,3160,Most,M
T412070,7.27,3000-08-22,day,760,3160,Most,M
T412070,22.68,3000-08-22,night,760,3160,Most,M
T412070,11.75,3000-08-23,night,760,3160,Most,M
T412070,8.58,3000-08-24,night,760,3160,Most,M
T412070,3.67,3000-08-25,day,760,3160,Most,M
T412070,12.74,3000-08-25,night,760,3160,Most,M
T412070,3.25,3000-08-26,day,760,3160,Most,M
T412070,24.86,3000-08-26,night,760,3160,Most,M
T412070,2.23,3000-08-27,day,760,3160,Most,M
T412070,23.71,3000-08-27,night,760,3160,Most,M
T412070,2.94,3000-08-28,day,760,3160,Most,M
T412070,16.37,3000-08-28,night,760,3160,Most,M
T412070,11.88,3000-08-29,night,760,3160,Most,M
T412070,7.23,3000-08-30,day,760,3160,Most,M
T412070,8.66,3000-08-30,night,760,3160,Most,M
T412070,6.98,3000-09-01,night,760,3160,Most,M
T412070,1.93,3000-09-02,day,760,3160,Most,M
T412070,15.62,3000-09-02,night,760,3160,Most,M
T412070,12.23,3000-09-03,night,760,3160,Most,M
T412070,3.3,3000-09-04,day,760,3160,Most,M
T412070,11.52,3000-09-04,night,760,3160,Most,M
T412070,9.18,3000-09-05,night,760,3160,Most,M
T412070,13.6,3000-09-06,night,760,3160,Most,M
T412070,2.21,3000-09-07,day,760,3160,Most,M
T412070,12.75,3000-09-07,night,760,3160,Most,M
T412070,2.05,3000-09-08,day,760,3160,Most,M
T412070,14.03,3000-09-08,night,760,3160,Most,M
T412070,7.61,3000-09-09,night,760,3160,Most,M
T412070,6.95,3000-09-10,night,760,3160,Most,M
T412070,7.48,3000-09-11,night,760,3160,Most,M
T412070,6.56,3000-09-12,day,760,3160,Most,M
T412070,25.26,3000-09-12,night,760,3160,Most,M
T412070,1.74,3000-09-13,day,760,3160,Most,M
T412070,24.17,3000-09-13,night,760,3160,Most,M
T412070,4.22,3000-09-14,day,760,3160,Most,M
T412070,29.3,3000-09-14,night,760,3160,Most,M
T412070,5.99,3000-09-15,day,760,3160,Most,M
T412070,13.34,3000-09-15,night,760,3160,Most,M
T412070,6.43,3000-09-16,day,760,3160,Most,M
T412070,28.64,3000-09-16,night,760,3160,Most,M
T412070,3.26,3000-09-17,day,760,3160,Most,M
T412070,20.99,3000-09-17,night,760,3160,Most,M
T412070,7.77,3000-09-18,day,760,3160,Most,M
T412070,33.75,3000-09-18,night,760,3160,Most,M
T412070,5.46,3000-09-19,day,760,3160,Most,M
T412070,35.41,3000-09-19,night,760,3160,Most,M
T412070,2.47,3000-09-20,day,760,3160,Most,M
T412070,24,3000-09-20,night,760,3160,Most,M
T412070,2.09,3000-09-21,day,760,3160,Most,M
T412070,13.86,3000-09-21,night,760,3160,Most,M
T412070,1.72,3000-09-22,day,760,3160,Most,M
T412070,17.57,3000-09-22,night,760,3160,Most,M
T412070,4.68,3000-09-23,day,760,3160,Most,M
T412070,6.75,3000-09-23,night,760,3160,Most,M
T412070,2,3000-09-24,day,760,3160,Most,M
T412070,34.9,3000-09-24,night,760,3160,Most,M
T412070,2.38,3000-09-25,day,760,3160,Most,M
T412070,21.58,3000-09-25,night,760,3160,Most,M
T412070,18.84,3000-09-26,night,760,3160,Most,M
T412070,9.27,3000-09-27,night,760,3160,Most,M
T412070,7.69,3000-09-28,night,760,3160,Most,M
T412070,10.26,3000-09-30,night,760,3160,Most,M
T412070,4.18,3000-10-01,night,760,3160,Most,M
T412070,1.81,3000-10-02,day,760,3160,Most,M
T412070,11.17,3000-10-02,night,760,3160,Most,M
T412070,15.38,3000-10-03,night,760,3160,Most,M
T412070,3.93,3000-10-04,day,760,3160,Most,M
T412070,21.29,3000-10-04,night,760,3160,Most,M
T412070,20.84,3000-10-05,night,760,3160,Most,M
T412070,31.27,3000-10-06,night,760,3160,Most,M
T412070,17.36,3000-10-07,night,760,3160,Most,M
T412070,4.01,3000-10-08,day,760,3160,Most,M
T412070,2.36,3000-10-08,night,760,3160,Most,M
T412070,3.7,3000-10-09,night,760,3160,Most,M
T412070,2.79,3000-10-10,night,760,3160,Most,M
T412070,4.38,3000-10-12,night,760,3160,Most,M
T412070,7.86,3000-10-13,night,760,3160,Most,M
T412070,13.35,3000-10-14,night,760,3160,Most,M
T412070,8.26,3000-10-15,night,760,3160,Most,M
T412070,2.18,3000-10-16,night,760,3160,Most,M
T412070,2.91,3000-10-17,night,760,3160,Most,M
T412070,9.99,3000-10-22,night,760,3160,Most,M
T412070,16,3000-10-23,night,760,3160,Most,M
T412070,3.88,3000-10-24,night,760,3160,Most,M
T412070,3.3,3000-10-27,night,760,3160,Most,M
T412070,3.85,3000-10-28,night,760,3160,Most,M
T412070,2.08,3000-10-29,night,760,3160,Most,M
T412070,4.38,3000-10-30,day,760,3160,Most,M
T412070,2.08,3000-10-30,night,760,3160,Most,M
T412070,2.04,3000-11-02,night,760,3160,Most,M
T412070,2.74,3000-11-03,night,760,3160,Most,M
T412070,1.98,3000-11-05,night,760,3160,Most,M
T412070,1.94,3000-11-06,day,760,3160,Most,M
T412070,2.1,3000-11-06,night,760,3160,Most,M
T412070,4.25,3000-11-07,night,760,3160,Most,M
T412070,1.51,3000-11-08,night,760,3160,Most,M
T412070,5.79,3000-11-10,night,760,3160,Most,M
T412070,2.25,3000-11-11,night,760,3160,Most,M
T412070,5.57,3000-11-12,night,760,3160,Most,M
T412070,13.63,3000-11-13,night,760,3160,Most,M
T412070,5.77,3000-11-14,night,760,3160,Most,M
T412070,3.79,3000-11-15,night,760,3160,Most,M
T412070,1.86,3000-11-16,night,760,3160,Most,M
T412070,1.86,3000-11-17,night,760,3160,Most,M
T412070,16.26,3000-11-18,night,760,3160,Most,M
T412070,2.11,3000-11-19,day,760,3160,Most,M
T412070,2.34,3000-11-19,night,760,3160,Most,M
T412070,2.01,3000-11-20,day,760,3160,Most,M
T412070,2.49,3000-11-20,night,760,3160,Most,M
T412073,1.09,3000-06-01,day,1100,7920,Chabarovice,M
T412073,5.94,3000-06-01,night,1100,7920,Chabarovice,M
T412073,1.01,3000-06-02,day,1100,7920,Chabarovice,M
T412073,1.06,3000-06-02,night,1100,7920,Chabarovice,M
T412073,1.16,3000-06-03,day,1100,7920,Chabarovice,M
T412073,5.79,3000-06-03,night,1100,7920,Chabarovice,M
T412073,5.73,3000-06-04,day,1100,7920,Chabarovice,M
T412073,5.47,3000-06-04,night,1100,7920,Chabarovice,M
T412073,11.05,3000-06-05,day,1100,7920,Chabarovice,M
T412073,3.18,3000-06-05,night,1100,7920,Chabarovice,M
T412073,1.01,3000-06-06,night,1100,7920,Chabarovice,M
T412073,13.56,3000-06-07,day,1100,7920,Chabarovice,M
T412073,4.26,3000-06-07,night,1100,7920,Chabarovice,M
T412073,4.29,3000-06-08,day,1100,7920,Chabarovice,M
T412073,3.01,3000-06-08,night,1100,7920,Chabarovice,M
