fishid,pr_pel_mean,date,diel_period,tl_mm,weight_g,lake,sex
T412070,0.497470489038786,3000-10-07,night,760,3160,Most,M
T412070,0.223880597014925,3000-10-12,night,760,3160,Most,M
T412070,0.196078431372549,3000-10-13,night,760,3160,Most,M
T412070,0.918367346938776,3000-10-14,night,760,3160,Most,M
T412070,0.276315789473684,3000-10-15,night,760,3160,Most,M
T412070,0.0133333333333333,3000-10-17,night,760,3160,Most,M
T412070,0.794117647058824,3000-10-22,night,760,3160,Most,M
T412070,0.48951048951049,3000-10-23,night,760,3160,Most,M
T412070,0.0909090909090909,3000-10-25,night,760,3160,Most,M
T412070,0.0769230769230769,3000-10-27,night,760,3160,Most,M
T412070,0.184466019417476,3000-10-28,night,760,3160,Most,M
T412070,0.388888888888889,3000-11-03,night,760,3160,Most,M
T412070,0.666666666666667,3000-11-09,night,760,3160,Most,M
T412070,0.269230769230769,3000-11-10,night,760,3160,Most,M
T412070,0.0397727272727273,3000-11-11,night,760,3160,Most,M
T412070,0.150684931506849,3000-11-12,night,760,3160,Most,M
T412070,0.822033898305085,3000-11-13,night,760,3160,Most,M
T412070,0.229591836734694,3000-11-14,night,760,3160,Most,M
T412070,0.810185185185185,3000-11-18,night,760,3160,Most,M
T412073,0.0173775671406003,3000-06-01,day,1100,7920,Chabarovice,M
T412073,0.0592105263157895,3000-06-01,night,1100,7920,Chabarovice,M
T412073,0.00163398692810458,3000-06-03,day,1100,7920,Chabarovice,M
T412073,0.0102040816326531,3000-06-04,day,1100,7920,Chabarovice,M
T412073,0.0598290598290598,3000-06-04,night,1100,7920,Chabarovice,M
T412073,0.00793650793650794,3000-06-05,night,1100,7920,Chabarovice,M
T412073,0.106382978723404,3000-06-05,day,1100,7920,Chabarovice,M
T412073,0.0740740740740741,3000-06-06,night,1100,7920,Chabarovice,M
T412073,0.0280777537796976,3000-06-07,day,1100,7920,Chabarovice,M
T412073,0.0344827586206897,3000-06-07,night,1100,7920,Chabarovice,M
T412073,0.0119760479041916,3000-06-08,day,1100,7920,Chabarovice,M
T412073,0.107142857142857,3000-06-08,night,1100,7920,Chabarovice,M
T412073,0.25,3000-06-10,night,1100,7920,Chabarovice,M
T412073,0.0833333333333333,3000-06-11,day,1100,7920,Chabarovice,M
T412073,0.0909090909090909,3000-06-12,night,1100,7920,Chabarovice,M
T412073,0.25,3000-06-14,day,1100,7920,Chabarovice,M
T412073,0.365979381443299,3000-06-15,night,1100,7920,Chabarovice,M
T412073,0.110047846889952,3000-06-15,day,1100,7920,Chabarovice,M
T412073,0.746231155778895,3000-06-16,night,1100,7920,Chabarovice,M
T412073,0.683428571428571,3000-06-16,day,1100,7920,Chabarovice,M
T412073,0.686971235194586,3000-06-17,night,1100,7920,Chabarovice,M
T412073,0.470224284609436,3000-06-17,day,1100,7920,Chabarovice,M
